Master_BOL,Container_num,outbound,ACS_in_house_ETA,vizion_ETA,NO_milestones
COSU6310275520,TRHU7272118,Y,2021-09-18,#N/A,#N/A
UCMICMX56393,BSIU2897250,Y,2021-10-02,#N/A,#N/A
LGB2108723,TCNU5960479,Y,2021-09-26,#N/A,#N/A
9HPHLBH9002B,WHSU6148542,Y,2021-10-02,#N/A,#N/A
NJLH060412851,WHSU5775764,Y,2021-10-02,#N/A,#N/A
NJLH060412827,WHSU6349640,Y,2021-10-02,#N/A,#N/A
NJLH060412615,WHSU5317247,Y,2021-10-02,#N/A,#N/A
HPLGB2109046,TCNU4164287,Y,2021-10-02,#N/A,#N/A
HPLGB2109046,WHSU5106584,Y,2021-10-02,#N/A,#N/A
040BA08894,WHSU5977322,Y,2021-10-02,#N/A,#N/A
040BA08894,WHSU6226727,Y,2021-10-02,#N/A,#N/A
NJLH060412838,WHSU6233454,Y,2021-10-03,#N/A,#N/A
NJLH060412848,WHSU6389935,Y,2021-10-03,#N/A,#N/A
NJLH060412848,WHSU6144378,Y,2021-10-03,#N/A,#N/A
ONEYDACB19523900,BEAU5340130,Y,2021-09-22,#N/A,#N/A
040BX07985,WHSU5192330,Y,2021-10-03,#N/A,#N/A
HLCUJK12108ASRP3,TCLU1487695,Y,2021-10-12,#N/A,#N/A
HLCUJK12108ASRP3,UACU6040707,Y,2021-10-12,#N/A,#N/A
HLCUJK12108ASRP3,SLSU8030260,Y,2021-10-12,#N/A,#N/A
WHLC100BA02721,WHSU5130153,Y,2021-09-12,#N/A,#N/A
049BA16204,WHSU6646057,Y,2021-10-27,#N/A,#N/A
ZIMUHAI80039655,ZCSU7115568,Y,2021-09-26,#N/A,#N/A
049BA16203,WHSU6645641,Y,2021-10-27,#N/A,#N/A
CAMSE210807,OOLU7972125,Y,2021-09-25,#N/A,#N/A
CAMSE210807,OOLU8295076,Y,2021-09-25,#N/A,#N/A
CAMSE210807,TLLU2061402,Y,2021-09-25,#N/A,#N/A
HLCUSHA2004AWAS0,HLXU8094522,Y,2021-09-25,#N/A,#N/A
