Shipment Number,Container #,Bill Of Lading,,,Shipment #,Container #
0007535,EGHU9055060,EGLV080100369063,0,,0007689,EITU1815995
0007535,EGHU9345623,EGLV080100369063,0,,0007689,TCLU7983692
0007563,EITU1516891,EGLV080100369063,0,,0007702,BSIU9211850
0007563,EITU9056771,EGLV080100369063,0,,0007716,FFAU1245525
0007688,CAAU5420685,EGLV080100444413,0,,0007716,MSMU5139314
0007688,TEMU8539859,EGLV080100444413,0,,0007724,TCNU1687160
0007682,TEMU8690490,EGLV080100444421,0,,0007785,TCNU1687160
0007682,TEMU8914590,EGLV080100444421,0,,0007787,TCNU1687160
0007681,EITU9011078,EGLV080100444430,0,,,
0007681,EITU9141404,EGLV080100444430,0,,,
0007679,EITU1034610,EGLV080100444448,0,,,
0007824,BMOU5112330,ELVG080100475009,#N/A,,,
0007824,EITU1688545,ELVG080100475009,#N/A,,,
0007824,HMCU9010099,ELVG080100475009,#N/A,,,
0007660,CAIU9970194,HDMUJKTM08567700,0,,,
0007660,GAOU6340626,HDMUJKTM08567700,0,,,
0007660,TCLU4999550,HDMUJKTM08567700,0,,,
0007466,CAIU9968345,HDMUJKTM39168700,0,,,
0007466,HMMU6010407,HDMUJKTM39168700,0,,,
0007466,SEGU5802374,HDMUJKTM39168700,0,,,
0007573,KOCU4193389,HDMUJKTM45496500,0,,,
0007573,KOCU4919070,HDMUJKTM45496500,0,,,
0007576,BSIU9161111,HDMUJKTM66097400,0,,,
0007576,CAIU7667960,HDMUJKTM66097400,0,,,
0007390,HMMU6084523,HDMUJKTM69770400,0,,,
0007390,KOCU4118050,HDMUJKTM69770400,0,,,
0007390,KOCU4178194,HDMUJKTM69770400,0,,,
0007390,KOCU4318254,HDMUJKTM69770400,0,,,
0007390,KOCU4614169,HDMUJKTM69770400,0,,,
0007390,TCNU5067609,HDMUJKTM69770400,0,,,
0007577,CAIU4564870,HDMUJKTM90490600,0,,,
0007577,CAIU7468931,HDMUJKTM90490600,0,,,
0007577,TCNU5069068,HDMUJKTM90490600,0,,,
0007577,TCNU7229890,HDMUJKTM90490600,0,,,
0007702,BSIU9211850,HDMUSELM13156400,0,,,
0007702,GAOU6205117,HDMUSELM13156400,#N/A,,,
0007702,KOCU4006045,HDMUSELM13156400,#N/A,,,
0007702,KOCU4675605,HDMUSELM13156400,#N/A,,,
0007702,KOCU4756857,HDMUSELM13156400,#N/A,,,
0007702,SEGU6849416,HDMUSELM13156400,#N/A,,,
0007574,KOCU4477261,HDMUSELM24373200,0,,,
0007574,KOCU4566353,HDMUSELM24373200,0,,,
0007572,HMMU6448456,HDMUSELM24373201,0,,,
0007572,MRSU4492688,HDMUSELM24373201,#N/A,,,
0007572,SMCU1192022,HDMUSELM24373201,#N/A,,,
0007489,TCNU1488934,HLCUDA1210600332,#N/A,,,
0007711,HAMU1269494,HLCUDA1210702007,#N/A,,,
0007697,TCNU8326529,HLCUDA1210702018,#N/A,,,
0007671,TCNU8925527,MEDUCP391013,0,,,
0007716,FFAU1245525,MEDUCP454993,0,,,
0007716,MSMU5139314,MEDUCP454993,0,,,
0007565,CAIU8016495,MEDUKA893792,0,,,
0007565,TGCU5008699,MEDUKA893792,0,,,
0007565,TRHU6250958,MEDUKA893792,0,,,
0007703,TCNU5516422,ONEYALYB04845300,#N/A,,,
0007475,TCNU4932430,ONEYDAC4101995,#N/A,,,
0007443,AXIU1365550,ONEYDACB14520800,#N/A,,,
0007443,NYKU5238686,ONEYDACB14520800,#N/A,,,
0007403,BEAU5456650,ONEYDACB14948800,#N/A,,,
0007403,FFAU1827172,ONEYDACB14948800,#N/A,,,
0007403,TCLU4909963,ONEYDACB14948800,#N/A,,,
0007403,TCLU8422227,ONEYDACB14948800,#N/A,,,
0007430,FFAU1456889,ONEYDACB14951900,#N/A,,,
0007430,TCLU4621283,ONEYDACB14951900,#N/A,,,
0007430,TCLU5795783,ONEYDACB14951900,#N/A,,,
