id,container_id,port_name,city,state,unlocode,facility,latitude,longitude
1,TCLU7537047,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
9,DFSU6679443,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
34,MSCU7160162,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
46,CXDU2162167,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
60,FFAU2714334,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
71,INKU2382856,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
92,MEDU8017039,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
102,TCNU4573449,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
109,MSCU5248038,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
126,SZLU9560138,"HALIFAX, NS,CANADA",Halifax,Canada,,,44.64876350000001,44.64876350000001
149,MEDU6555930,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
271,TCLU5578026,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
345,MSCU1268695,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
365,HLBU2194717,"HALIFAX, NS",Halifax,Canada,,,44.64876350000001,44.64876350000001
376,TCLU1529677,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
397,SEGU4468196,"NEW YORK, NY,UNITED STATES",New York,United States,,,40.7,40.7
419,GCXU2210170,"NEW YORK, NY,UNITED STATES",New York,United States,,,40.7,40.7
442,TCNU1488934,"HALIFAX, NS",Halifax,Canada,,,44.64876350000001,44.64876350000001
447,TLLU4443549,"LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC",Washington,United States,,,38.9428097,38.9428097
457,TGHU9708791,"LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC",Washington,United States,,,38.9428097,38.9428097
468,ZCSU7106355,"LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC",Washington,United States,,,38.9428097,38.9428097
478,TGBU7240673,"LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC",Washington,United States,,,38.9428097,38.9428097
489,ZCSU7381803,"LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC",Washington,United States,,,38.9428097,38.9428097
500,TCLU5458442,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
858,TCNU4564914,"LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC",Washington,United States,,,38.9428097,38.9428097
860,NYKU4627364,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
872,NYKU5238686,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
886,AXIU1365550,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
899,OOCU7821056,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
902,UACU5342430,"HALIFAX, NS",Halifax,Canada,,,44.64876350000001,44.64876350000001
909,CAIU9428331,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
914,CSLU6182287,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
916,CBHU5816262,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
919,BEAU2044860,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
922,OOCU7443038,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
924,OOLU1245915,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
927,CCLU7975366,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
930,DFSU7284047,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
932,CAIU8016495,NEW YORK,New York,United States,,,40.7,40.7
942,TGCU5008699,NEW YORK,New York,United States,,,40.7,40.7
952,TRHU6250958,NEW YORK,New York,United States,,,40.7,40.7
964,CBHU6290980,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
968,CSNU1076762,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
970,TEMU0096163,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
971,TRHU2656450,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
984,CAIU7405595,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
995,HMMU6008101,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1006,BSIU9264228,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1019,KOCU4209016,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1029,HMMU6243292,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1038,HMMU6084523,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1050,TCNU5067609,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1064,KOCU4318254,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1078,KOCU4178194,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1087,FCIU9234632,"NEW YORK, NY,UNITED STATES",New York,United States,,,40.7,40.7
1107,FDCU0634031,"NEW YORK, NY,UNITED STATES",New York,United States,,,40.7,40.7
1128,TRLU7202269,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1130,SEGU5802374,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1142,TRHU4177333,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1165,KKFU7928885,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1185,NYKU4369465,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1205,SEGU4990765,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1223,EGHU9785833,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
1225,TRHU5681610,"LOS ANGELES, CA (US)",Los Angeles,United States,,,34.0522342,34.0522342
1226,CAIU8967196,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
1236,TCNU6502892,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
1247,KKFU7755028,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
1261,FSCU8535820,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1263,CCLU7771758,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1265,TCLU6756170,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
1273,CBHU9131549,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1274,HMMU6044428,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1287,KOCU4727801,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1298,KOCU4106907,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1307,SEGU5332711,"LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC",Washington,United States,,,38.9428097,38.9428097
1317,KOCU4193389,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1329,BSIU9161111,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1340,CAIU7468931,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1349,CAIU4564870,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1360,NYKU4108477,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1381,FFAU1843825,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1402,KKFU7923775,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1421,NYKU4803864,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
1441,TCNU6648064,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
1463,TLLU5507334,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
1483,CBHU9161733,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1490,SEGU4686032,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1494,CSNU6117709,Long Beach,Long Beach,United States,,,33.766666666666666,33.766666666666666
1496,TGBU8751446,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1498,CBHU8795754,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1500,TLLU5474821,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1521,TCLU4999550,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1532,GAOU6340626,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1544,TCNU8925527,LOS ANGELES,Los Angeles,United States,,,34.0522342,34.0522342
1565,FDCU0634690,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1585,TCNU7773775,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1605,MSMU5139314,LOS ANGELES,Los Angeles,United States,,,34.0522342,34.0522342
1618,FFAU1245525,LOS ANGELES,Los Angeles,United States,,,34.0522342,34.0522342
1635,KOCU5089851,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1643,KOCU4614169,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1656,KOCU4118050,"LONG BEACH, CA",Long Beach,United States,,,33.766666666666666,33.766666666666666
1669,FFAU1812974,"NEW YORK, NY,UNITED STATES",New York,United States,,,40.7,40.7
1691,TCKU6188160,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1694,CAIU9968345,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1704,HMMU6010407,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1712,CRSU9367040,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1732,TCLU9689250,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1756,FCIU9285028,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1776,TCNU4554285,"LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC",Washington,United States,,,38.9428097,38.9428097
1785,KOCU4919070,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1800,CAIU7667960,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1810,TCNU7229890,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1821,TCNU5069068,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1829,TCLU9826500,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1850,GESU6557620,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1871,TCNU6423598,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
1891,CAIU9323520,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
1911,DFSU7383311,Los Angeles,Los Angeles,United States,,,34.0522342,34.0522342
1915,NYKU4425050,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
1927,NYKU4425050,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1936,TRHU4358054,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1958,TLLU5457470,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
1976,CAIU9970194,"LOS ANGELES, CA",Los Angeles,United States,,,34.0522342,34.0522342
1984,TCNU4863643,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
2004,FFAU1676538,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
2017,MSDU7646245,LONG BEACH,Long Beach,United States,,,33.766666666666666,33.766666666666666
2033,TRHU5320496,"LONG BEACH, CA,UNITED STATES",Long Beach,United States,,,33.766666666666666,33.766666666666666
2053,TCNU6860432,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
2071,TRHU4342130,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
2090,NYKU4387936,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
2111,NYKU5162169,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
2130,TCNU9664222,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
2149,TCNU1687160,"Halifax, Nova Scotia, Canada",Halifax,Canada,,,44.64876350000001,44.64876350000001
2155,KKTU7887918,"LOS ANGELES, CA,UNITED STATES",Los Angeles,United States,,,34.0522342,34.0522342
2173,TCNU8326529,"HALIFAX, NS",Halifax,Canada,,,44.64876350000001,44.64876350000001
