id,container_id,shipping_company,vizion_reference_id,vision_organization_id,bill_of_lading,latest_status,created_at,updated_at,finished_journey,uploaded
238,FFAU1456889,ONEY,f49143f6-104c-4101-9ea4-7ac387bb79fa,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14951900,,2021-08-05 14:00:04.248201,2021-08-05 14:31:33.335012,f,f
243,BEAU5423126,ONEY,05201aa0-e109-4684-b317-ecb1f04be8ff,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB15128600,,2021-08-05 14:00:04.307172,2021-08-05 14:31:50.391032,f,f
245,CCLU7884667,COSU,93a0832e-242d-4b6b-a6fe-c7102dd07895,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6305953240,,2021-08-05 14:00:04.383756,2021-08-05 14:31:57.101142,f,f
247,CCLU7672971,COSU,c1c6de92-ecea-4386-98e0-5a6cc80feb39,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6305953240,,2021-08-05 14:00:04.413239,2021-08-05 14:32:04.206714,f,f
249,KKFU7891195,ONEY,e9cb062c-dbb0-4ce5-8b9d-02e6e7bb25fd,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB15904800,,2021-08-05 14:00:04.523721,2021-08-05 14:32:11.49415,f,f
252,CBHU9418020,COSU,5d4a538a-14e5-4c6a-b2df-8491020ec8f1,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,COSU6307465200,,2021-08-05 14:00:04.665214,2021-08-05 14:32:22.69707,f,f
241,NYKU4881189,ONEY,16b11346-b6f7-4014-96fb-4350bd8225e5,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB14492900,,2021-08-05 14:00:04.278821,2021-08-05 14:31:43.602604,t,t
151,TCNU6648064,ONEY,a836b1f9-4d73-4d7a-b3a5-9545645b1dc7,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYPNHB19439900,,2021-07-30 21:00:05.242486,2021-07-30 21:35:55.592484,t,t
197,TCNU9664222,ONEY,2e948f01-4786-48e0-b0b6-b2840549065c,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,ONEYDACB15258300,,2021-07-31 21:00:04.557589,2021-07-31 21:33:52.195147,t,t
300,KOCU4006045,HDMU,2a238b6c-b439-4c4d-946f-0d7c317f6e7f,f59471f6-a2e5-46f9-9c1c-6d26b71afe64,HDMUSELM13156400,,2021-08-07 21:00:04.793451,2021-08-07 21:30:55.280173,t,t
