container_id	milestone_timestamp	location_name	location_city	location_country	location_unlocode	location_facility	description	raw_description	vessel_imo	vessel_mmsi	voyage	mode	vessel
SEGU4686032	2021-08-02 08:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CSNU6117709	2021-07-29 06:30:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
TGBU8751446	2021-08-05 06:30:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CBHU8795754	2021-08-05 06:30:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
TCLU4999550	2021-08-24 13:00:00 UTC	LOS ANGELES, CA	Los Angeles	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination	9312781	372218000		Vessel	NYK VEGA
GAOU6340626	2021-08-24 13:00:00 UTC	LOS ANGELES, CA	Los Angeles	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination	9312781	372218000		Vessel	NYK VEGA
TCNU8925527	2021-08-18 13:45:00 UTC	LOS ANGELES	Los Angeles	United States	USLAX		Vessel arrived at destination port	Estimated Time of Arrival					MSC JOSSELINE
MSMU5139314	2021-08-18 13:45:00 UTC	LOS ANGELES	Los Angeles	United States	USLAX		Vessel arrived at destination port	Estimated Time of Arrival					MSC JOSSELINE
FFAU1245525	2021-08-18 13:45:00 UTC	LOS ANGELES	Los Angeles	United States	USLAX		Vessel arrived at destination port	Estimated Time of Arrival					MSC JOSSELINE
KOCU4614169	2021-08-27 13:00:00 UTC	LONG BEACH, CA	Long Beach	United States	USLGB		Estimated arrival at destination	Estimated arrival at destination				Vessel	HYUNDAI MARS
KOCU4118050	2021-08-27 13:00:00 UTC	LONG BEACH, CA	Long Beach	United States	USLGB		Estimated arrival at destination	Estimated arrival at destination				Vessel	HYUNDAI MARS
TCKU6188160	2021-08-12 08:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CAIU9968345	2021-08-18 13:00:00 UTC	LOS ANGELES, CA	Los Angeles	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination	9388352	370407000		Vessel	ONE CONTINUITY
HMMU6010407	2021-08-15 23:00:00 UTC	LOS ANGELES, CA	Los Angeles	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination	9388352	370407000		Vessel	ONE CONTINUITY
TCNU4554285	2021-08-06 08:00:00 UTC	LOS ANGELES (CA), CHINA. PEOPLE'S REPUBLIC	Washington	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination				Vessel	
KOCU4919070	2021-08-26 19:00:00 UTC	LOS ANGELES, CA	Los Angeles	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination	9326768	371110000		Vessel	NORTH BRIDGE
CAIU7667960	2021-08-24 13:00:00 UTC	LOS ANGELES, CA	Los Angeles	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination	9312781	372218000		Vessel	NYK VEGA
TCNU7229890	2021-08-23 02:00:00 UTC	LOS ANGELES, CA	Los Angeles	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination	9326768	371110000		Vessel	NORTH BRIDGE
TCNU5069068	2021-08-27 14:00:00 UTC	LOS ANGELES, CA	Los Angeles	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination	9326768	371110000		Vessel	NORTH BRIDGE
MAGU5589602	2021-07-27 08:00:00 UTC						Estimated arrival at destination	Estimated arrival at destination				Vessel	
CAIU9970194	2021-08-24 13:00:00 UTC	LOS ANGELES, CA	Los Angeles	United States	USLAX		Estimated arrival at destination	Estimated arrival at destination	9312781	372218000		Vessel	NYK VEGA
FFAU1676538	2021-08-05 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
MSDU7646245	2021-08-05 14:30:00 UTC	LONG BEACH	Long Beach	United States	USLGB		Vessel arrived at destination port	Estimated Time of Arrival	7434444	353056000		Vessel	MSC KATIE
