container_id,milestone_timestamp,location_city,raw_descripition
TCNU5516422,2021-08-16 23:00:00 UTC,Elizabeth,Empty Container Returned from Customer
TCNU5516422,2021-08-16 17:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
TCNU5516422,2021-08-16 12:30:00 UTC,New York,Unloaded from 'MOL COURAGE 1128' at Port of Discharging
TCNU5516422,2021-08-16 11:00:00 UTC,New York,'MOL COURAGE 1128' POD Berthing Destination
TCNU5516422,2021-08-15 16:00:00 UTC,New York,'MOL COURAGE 1128' Arrival at Port of Discharging
TCNU5516422,2021-08-13 23:00:00 UTC,Elizabeth,Empty Container Returned from Customer
TCNU5516422,2021-08-13 17:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
TCNU5516422,2021-08-13 12:30:00 UTC,New York,Unloaded from 'MOL COURAGE 1128' at Port of Discharging
TCNU5516422,2021-08-13 11:00:00 UTC,New York,'MOL COURAGE 1128' POD Berthing Destination
TCNU5516422,2021-08-13 10:00:00 UTC,Elizabeth,Empty Container Returned from Customer
TCNU5516422,2021-08-13 05:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
TCNU5516422,2021-08-13 04:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
TCNU5516422,2021-08-13 00:30:00 UTC,New York,Unloaded from 'MOL COURAGE 1128' at Port of Discharging
TCNU5516422,2021-08-12 23:30:00 UTC,New York,Unloaded from 'MOL COURAGE 1128' at Port of Discharging
TCNU5516422,2021-08-12 23:00:00 UTC,New York,'MOL COURAGE 1128' POD Berthing Destination
TCNU5516422,2021-08-12 22:00:00 UTC,New York,'MOL COURAGE 1128' POD Berthing Destination
TCNU5516422,2021-08-12 18:30:00 UTC,New York,'MOL COURAGE 1128' Arrival at Port of Discharging
TCNU5516422,2021-08-12 16:00:00 UTC,New York,'MOL COURAGE 1128' Arrival at Port of Discharging
TCNU5516422,2021-08-01 23:00:00 UTC,Damietta,'MOL COURAGE 1128' Departure from Port of Loading
TCNU5516422,2021-08-01 22:00:00 UTC,Damietta,Loaded on 'MOL COURAGE 1128' at Port of Loading
TCNU5516422,2021-08-01 17:54:00 UTC,Damietta,'MOL COURAGE 1128' Departure from Port of Loading
TCNU5516422,2021-08-01 14:14:00 UTC,Damietta,Loaded on 'MOL COURAGE 1128' at Port of Loading
TCNU5516422,2021-07-26 19:08:00 UTC,Damietta,Gate In to Outbound Terminal
TCNU5516422,2021-07-26 11:07:00 UTC,Damietta,Empty Container Release to Shipper
TCNU4932430
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
TCNU9664222
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
KKTU7887918
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
TCNU9664222
tracking information
finished_journey = true
"--- End tracking info, if finished journey is true not printing milestones ----"
KKFU7891195
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
KKFU7891195,2021-09-12 14:00:00 UTC,Elizabeth,Empty Container Returned from Customer
KKFU7891195,2021-09-12 08:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
KKFU7891195,2021-09-12 03:30:00 UTC,New York,Unloaded from 'HYUNDAI FAITH 096E' at Port of Discharging
KKFU7891195,2021-09-12 02:00:00 UTC,New York,'HYUNDAI FAITH 096E' POD Berthing Destination
KKFU7891195,2021-09-11 21:30:00 UTC,New York,'HYUNDAI FAITH 096E' Arrival at Port of Discharging
KKFU7891195,2021-08-28 09:00:00 UTC,Elizabeth,Empty Container Returned from Customer
KKFU7891195,2021-08-28 03:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
KKFU7891195,2021-08-27 22:30:00 UTC,New York,Unloaded from 'ONE HONOLULU 213E' at Port of Discharging
KKFU7891195,2021-08-27 21:00:00 UTC,New York,'ONE HONOLULU 213E' POD Berthing Destination
KKFU7891195,2021-08-27 16:30:00 UTC,New York,'ONE HONOLULU 213E' Arrival at Port of Discharging
KKFU7891195,2021-08-21 08:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7891195,2021-08-20 23:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7891195,2021-08-20 21:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7891195,2021-08-19 08:00:00 UTC,Colombo,Loaded on 'HYUNDAI FAITH 096E' at Transhipment Port
KKFU7891195,2021-08-19 01:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7891195,2021-08-18 23:00:00 UTC,Colombo,Loaded on 'HYUNDAI FAITH 096E' at Transhipment Port
KKFU7891195,2021-08-18 21:00:00 UTC,Colombo,Loaded on 'HYUNDAI FAITH 096E' at Transhipment Port
KKFU7891195,2021-08-17 01:00:00 UTC,Colombo,Loaded on 'HYUNDAI FAITH 096E' at Transhipment Port
KKFU7891195,2021-08-06 10:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7891195,2021-08-06 08:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7891195,2021-08-05 17:30:00 UTC,Colombo,Loaded on 'ONE HONOLULU 213E' at Transhipment Port
KKFU7891195,2021-08-05 15:30:00 UTC,Colombo,Loaded on 'ONE HONOLULU 213E' at Transhipment Port
KKFU7891195,2021-07-12 01:10:00 UTC,Colombo,Unloaded from 'X-PRESS LHOTSE 108S' at Transhipment Port
KKFU7891195,2021-07-11 14:15:00 UTC,Colombo,'X-PRESS LHOTSE 108S' T/S Berthing Destination
KKFU7891195,2021-07-10 15:48:00 UTC,Colombo,'X-PRESS LHOTSE 108S' Arrival at Transhipment Port
KKFU7891195,2021-07-06 07:34:00 UTC,Chattogram,'X-PRESS LHOTSE 108S' Departure from Port of Loading
KKFU7891195,2021-07-06 07:00:00 UTC,Chattogram,Loaded on 'X-PRESS LHOTSE 108S' at Port of Loading
KKFU7891195,2021-07-02 23:45:00 UTC,Chattogram,Gate In to Outbound Terminal
KKFU7891195,2021-07-02 20:00:00 UTC,Chattogram,Empty Container Release to Shipper
KKFU7974514
tracking information
finished_journey = false
"--- End tracking info, if finished journey is true not printing milestones ----"
KKFU7974514,2021-09-12 14:00:00 UTC,Elizabeth,Empty Container Returned from Customer
KKFU7974514,2021-09-12 08:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
KKFU7974514,2021-09-12 03:30:00 UTC,New York,Unloaded from 'HYUNDAI FAITH 096E' at Port of Discharging
KKFU7974514,2021-09-12 02:00:00 UTC,New York,'HYUNDAI FAITH 096E' POD Berthing Destination
KKFU7974514,2021-09-11 21:30:00 UTC,New York,'HYUNDAI FAITH 096E' Arrival at Port of Discharging
KKFU7974514,2021-08-28 09:00:00 UTC,Elizabeth,Empty Container Returned from Customer
KKFU7974514,2021-08-28 03:00:00 UTC,New York,Gate Out from Inbound Terminal for Delivery to Consignee (or Port Shuttle)
KKFU7974514,2021-08-27 22:30:00 UTC,New York,Unloaded from 'ONE HONOLULU 213E' at Port of Discharging
KKFU7974514,2021-08-27 21:00:00 UTC,New York,'ONE HONOLULU 213E' POD Berthing Destination
KKFU7974514,2021-08-27 16:30:00 UTC,New York,'ONE HONOLULU 213E' Arrival at Port of Discharging
KKFU7974514,2021-08-21 08:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7974514,2021-08-20 23:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7974514,2021-08-20 21:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7974514,2021-08-19 08:00:00 UTC,Colombo,Loaded on 'HYUNDAI FAITH 096E' at Transhipment Port
KKFU7974514,2021-08-19 01:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7974514,2021-08-18 23:00:00 UTC,Colombo,Loaded on 'HYUNDAI FAITH 096E' at Transhipment Port
KKFU7974514,2021-08-18 21:00:00 UTC,Colombo,Loaded on 'HYUNDAI FAITH 096E' at Transhipment Port
KKFU7974514,2021-08-17 01:00:00 UTC,Colombo,Loaded on 'HYUNDAI FAITH 096E' at Transhipment Port
KKFU7974514,2021-08-06 10:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7974514,2021-08-06 08:00:00 UTC,Colombo,Departure from Transhipment Port
KKFU7974514,2021-08-05 17:30:00 UTC,Colombo,Loaded on 'ONE HONOLULU 213E' at Transhipment Port
KKFU7974514,2021-08-05 15:30:00 UTC,Colombo,Loaded on 'ONE HONOLULU 213E' at Transhipment Port
KKFU7974514,2021-07-11 18:02:00 UTC,Colombo,Unloaded from 'X-PRESS LHOTSE 108S' at Transhipment Port
KKFU7974514,2021-07-11 14:15:00 UTC,Colombo,'X-PRESS LHOTSE 108S' T/S Berthing Destination
KKFU7974514,2021-07-10 15:48:00 UTC,Colombo,'X-PRESS LHOTSE 108S' Arrival at Transhipment Port
